Artist,Track,Peak Position,Year,Peak Date
Robin Ward,Wonderful Summer,14,1963,11/16/63
Betty Harris,Cry to Me,25,1963,11/16/63
The Village Stompers,Washington Square,2,1963,11/23/63
The Singing Nun,Dominique,1,1963,12/7/63
Barry & the Tamerlanes,I Wonder What She's Doing Tonight,21,1963,12/7/63
The Caravelles,You Don't Have to Be a Baby to Cry,3,1963,12/21/63
The Secrets,The Boy Next Door,18,1963,12/28/63
Joey Powers,Midnight Mary,10,1964,1/4/64
The Murmaids,Popsicles and Icicles,3,1964,1/11/64
The Tams,What Kind of Fool (Do You Think I Am),9,1964,2/22/64
Dale Ward,Letter from Sherry,25,1964,2/22/64
The Rivieras,California Sun,5,1964,2/29/64
The Pyramids,Penetration,18,1964,3/14/64
The Sapphires,Who Do You Love,25,1964,3/14/64
Gloria Lynne,I Wish You Love,28,1964,3/14/64
Tommy Tucker,High-Heel Sneakers,11,1964,3/21/64
The Swinging Blue Jeans,Hippy Hippy Shake,24,1964,4/4/64
The Devotions,Rip Van Winkle,36,1964,4/4/64
The Carefrees,We Love You Beatles,39,1964,4/11/64
Peter Drake and his Talking Steel Guitar,Forever,25,1964,4/25/64
Robert Maxwell and His Harp and Orchestra,Shangri-La,15,1964,5/2/64
Sammy Kaye and his Orchestra,Charade,36,1964,5/9/64
Danny Williams,White on White,9,1964,5/16/64
Irma Thomas,Wish Someone Would Care,17,1964,5/16/64
The Reflections,(Just Like) Romeo and Juliet,6,1964,5/30/64
Rita Pavone,Remember Me,26,1964,7/11/64
Astrud Gilberto,The Girl from Ipanema,5,1964,7/18/64
The Premiers,Farmer John,19,1964,8/1/64
Cilla Black,You're My World,26,1964,8/1/64
The Jelly Beans,I Wanna Love Him So Bad,9,1964,8/8/64
Earl-Jean,I'm Into Somethin' Good,38,1964,8/8/64
Jimmy Hughes,Steal Away,17,1964,8/15/64
The Chartbusters,She's the One,33,1964,8/15/64
Patty & the Emblems,"Mixed-Up, Shook-Up Girl",37,1964,8/15/64
Jackie Ross,Selfish One,11,1964,9/5/64
Jumpin' Gene Simmons,Haunted House,11,1964,9/26/64
Joe Hinton,Funny (How Time Slips Away),13,1964,10/10/64
Gale Garnett,We'll Sing in the Sunshine,4,1964,10/17/64
The Hondells,Little Honda,9,1964,10/31/64
J. Frank Wilson and the Cavaliers,Last Kiss,2,1964,11/7/64
The Nashville Teens,Tobacco Road,14,1964,11/7/64
The Honeycombs,Have I the Right?,5,1964,11/14/64
Mickey Lee Lane,Shaggy Dog,38,1964,11/28/64
Lorne Greene,Ringo,1,1964,12/5/64
Julie Rogers,The Wedding,10,1965,1/2/65
Robert Goulet,"My Love, Forgive Me (Amore, Scusami)",16,1965,1/2/65
The Detergents,Leader of the Laundromat,19,1965,1/9/65
The Larks,The Jerk,7,1965,1/16/65
The Waikikis,Hawaii Tattoo,33,1965,1/16/65
Alvin Cash and the Crawlers,Twine Time,14,1965,2/20/65
The Ad Libs,The Boy from New York City,8,1965,2/27/65
Buck Owens and The Buckaroos,I've Got a Tiger By the Tail,25,1965,2/27/65
Adam Faith,It's Alright,31,1965,2/27/65
Jewel Akens,The Birds and the Bees,3,1965,3/20/65
Shirley Bassey,Goldfinger,8,1965,3/27/65
Bobby McClure,Don't Mess Up a Good Thing,33,1965,3/27/65
Cannibal & the Headhunters,Land of a Thousand Dances,30,1965,4/24/65
Sounds Orchestral,Cast Your Fate to the Wind,10,1965,5/8/65
Tony Clarke,The Entertainer,31,1965,5/8/65
Little Milton,We're Gonna Make It,25,1965,5/15/65
